Report Number,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Police Deployed,Latitude,Longitude
12436,2021-06-02,03:18,Bangalore,119,ASSAULT,32,M,Other,12,12.960115,77.640229
12437,2021-06-02,00:39,Jaipur,427,IDENTITY THEFT,56,M,Poison,18,26.903151,75.734309
12438,2021-06-02,20:18,Mumbai,101,VEHICLE - STOLEN,49,F,Poison,3,19.010542,72.808623
12439,2021-06-02,10:37,Ludhiana,294,SEXUAL ASSAULT,68,F,Explosives,1,30.947577,75.883243
12440,2021-06-02,08:27,Bhopal,389,ARSON,47,F,Blunt Object,12,23.35225,77.390269
12441,2021-06-02,18:29,Jaipur,306,COUNTERFEITING,14,M,Explosives,4,26.819838,75.945938
12442,2021-06-02,22:45,Kanpur,409,HOMICIDE,71,F,Poison,1,26.436928,80.219587
12443,2021-06-02,11:35,Delhi,211,EXTORTION,12,F,Poison,2,28.824712,77.242687
12444,2021-06-02,23:34,Chennai,521,VEHICLE - STOLEN,36,F,Other,9,13.004453,80.156972
12445,2021-06-02,16:07,Vasai,317,EXTORTION,57,F,Explosives,2,19.419906,72.823276
12446,2021-06-02,18:32,Faridabad,221,HOMICIDE,11,M,Poison,4,28.421857,77.264443
12447,2021-06-02,15:31,Delhi,182,DOMESTIC VIOLENCE,65,F,Firearm,3,28.628512,77.201258
12448,2021-06-02,03:51,Mumbai,570,DRUG OFFENSE,18,F,Explosives,3,19.095446,72.851954
12449,2021-06-02,02:32,Pune,525,DRUG OFFENSE,58,F,None,11,18.626877,73.916539
12450,2021-06-02,23:24,Pune,284,KIDNAPPING,35,F,Blunt Object,10,18.545019,73.773542
12451,2021-06-02,07:48,Ghaziabad,365,FIREARM OFFENSE,59,F,Blunt Object,2,28.667403,77.497573
12452,2021-06-02,14:55,Bangalore,195,FRAUD,70,F,None,19,13.007522,77.512547
12453,2021-06-02,02:06,Kanpur,576,ASSAULT,31,F,None,5,26.446243,80.280634
12454,2021-06-02,22:17,Bhopal,363,HOMICIDE,46,M,Other,16,23.342961,77.319534
12455,2021-06-02,13:29,Surat,207,FRAUD,63,F,Firearm,10,21.258942,72.797096
12456,2021-06-02,11:21,Lucknow,406,ASSAULT,54,F,Blunt Object,4,26.802538,81.042035
12457,2021-06-03,16:28,Mumbai,304,PUBLIC INTOXICATION,76,F,Poison,19,19.022102,72.826292
12458,2021-06-03,18:12,Jaipur,465,PUBLIC INTOXICATION,45,F,Knife,17,26.848657,75.801971
12459,2021-06-03,13:45,Delhi,323,HOMICIDE,14,M,Blunt Object,7,28.527281,76.962547
12460,2021-06-03,10:36,Nashik,505,DRUG OFFENSE,29,F,Knife,10,19.980989,73.736785
12461,2021-06-03,18:53,Surat,453,CYBERCRIME,36,F,Blunt Object,4,21.288051,72.724663
12462,2021-06-03,08:33,Ahmedabad,157,FRAUD,64,F,Other,18,23.078969,72.58341
12463,2021-06-03,10:46,Bangalore,144,EXTORTION,17,F,Blunt Object,17,13.00955,77.62714
12464,2021-06-03,11:54,Hyderabad,535,VANDALISM,23,M,Other,17,17.343475,78.558604
12465,2021-06-03,12:40,Lucknow,473,DRUG OFFENSE,50,F,Blunt Object,9,26.853979,81.00551
12466,2021-06-03,12:05,Srinagar,450,DOMESTIC VIOLENCE,42,F,Other,11,34.00471,74.838281
12467,2021-06-03,21:43,Ahmedabad,348,CYBERCRIME,55,M,None,3,23.085837,72.585429
12468,2021-06-03,17:24,Srinagar,310,KIDNAPPING,76,F,None,5,34.089898,74.949741
12469,2021-06-03,21:27,Kanpur,523,ILLEGAL POSSESSION,65,F,Poison,18,26.488505,80.320737
12470,2021-06-03,01:32,Ahmedabad,287,SEXUAL ASSAULT,56,F,Explosives,18,23.078767,72.545858
12471,2021-06-03,05:20,Bangalore,103,DOMESTIC VIOLENCE,31,F,Poison,14,13.043898,77.645482
12472,2021-06-03,12:38,Kanpur,544,HOMICIDE,68,M,Other,6,26.445186,80.279651
12473,2021-06-03,16:18,Hyderabad,393,ARSON,50,F,Blunt Object,13,17.43757,78.492939
12474,2021-06-03,00:47,Delhi,220,SHOPLIFTING,31,M,Firearm,3,28.51242,76.809772
12475,2021-06-03,20:18,Bangalore,436,TRAFFIC VIOLATION,17,M,Blunt Object,16,13.05563,77.551463
12476,2021-06-03,11:56,Kolkata,550,IDENTITY THEFT,17,F,Blunt Object,9,22.694182,88.354686
12477,2021-06-03,04:52,Bhopal,121,FRAUD,71,M,Blunt Object,16,23.328434,77.461875
12478,2021-06-03,17:36,Meerut,508,FIREARM OFFENSE,40,F,Blunt Object,2,29.045406,77.786314
12479,2021-06-03,15:30,Kalyan,324,ASSAULT,61,M,None,15,19.231189,73.116425
12480,2021-06-03,11:42,Ahmedabad,483,TRAFFIC VIOLATION,20,F,Blunt Object,4,23.025001,72.531549
12481,2021-06-04,11:41,Lucknow,106,CYBERCRIME,10,F,Explosives,18,26.840421,81.038623
12482,2021-06-04,08:29,Srinagar,473,VANDALISM,22,F,Knife,12,34.125087,74.79493
12483,2021-06-04,11:33,Hyderabad,516,ILLEGAL POSSESSION,65,F,Poison,12,17.50598,78.451264
12484,2021-06-04,23:11,Ahmedabad,442,HOMICIDE,12,F,Poison,13,23.053622,72.604804
12485,2021-06-04,03:40,Nashik,458,BURGLARY,58,M,None,9,19.985465,73.811929
12486,2021-06-04,13:32,Bangalore,235,VEHICLE - STOLEN,66,F,None,11,13.042007,77.691921
12487,2021-06-04,03:52,Agra,161,ILLEGAL POSSESSION,51,M,Blunt Object,16,27.195891,78.102583
12488,2021-06-04,06:58,Patna,395,EXTORTION,34,M,Poison,9,25.560125,85.20883
12489,2021-06-04,08:48,Delhi,107,VANDALISM,79,F,Explosives,19,28.862976,76.940528
12490,2021-06-04,00:51,Delhi,243,BURGLARY,44,F,Firearm,9,28.824721,76.973645
12491,2021-06-04,19:47,Nagpur,525,SEXUAL ASSAULT,27,F,Firearm,14,21.248337,79.168292
12492,2021-06-04,18:55,Delhi,564,ILLEGAL POSSESSION,73,F,Blunt Object,15,28.572251,77.042599
12493,2021-06-04,11:00,Kolkata,523,ROBBERY,51,F,Knife,8,22.635144,88.427757
12494,2021-06-04,13:28,Indore,127,FRAUD,44,F,Firearm,7,22.812049,75.937411
12495,2021-06-04,18:50,Mumbai,206,PUBLIC INTOXICATION,44,F,Firearm,15,18.999684,72.943958
12496,2021-06-04,06:16,Mumbai,494,FRAUD,65,M,Poison,1,18.921553,72.829166
12497,2021-06-04,15:48,Mumbai,517,ARSON,25,F,Firearm,17,19.148231,72.93481
12498,2021-06-04,18:47,Nagpur,325,ARSON,75,F,None,18,21.117503,79.173893
12499,2021-06-04,03:11,Indore,514,SEXUAL ASSAULT,45,M,Blunt Object,8,22.777878,75.82918
12500,2021-06-04,10:35,Kolkata,184,BURGLARY,50,F,None,1,22.513536,88.309286
12501,2021-06-04,02:38,Delhi,424,ROBBERY,25,F,Blunt Object,19,28.795279,77.117006
12502,2021-06-04,13:58,Visakhapatnam,501,DOMESTIC VIOLENCE,13,F,Blunt Object,11,17.753411,83.26355
12503,2021-06-04,10:10,Indore,162,FRAUD,62,F,Other,15,22.726828,75.820914
12504,2021-06-04,22:27,Ahmedabad,566,CYBERCRIME,65,F,Explosives,11,23.044091,72.576603
12505,2021-06-05,07:05,Bangalore,432,ASSAULT,74,F,Poison,1,12.955794,77.683525
12506,2021-06-05,01:27,Agra,135,IDENTITY THEFT,43,M,Poison,6,27.12429,78.08426
12507,2021-06-05,06:23,Ludhiana,189,BURGLARY,52,F,None,12,30.936821,75.806093
12508,2021-06-05,12:54,Ahmedabad,286,SEXUAL ASSAULT,65,M,Knife,17,23.032772,72.520393
12509,2021-06-05,13:05,Kanpur,262,VANDALISM,78,F,Other,11,26.407993,80.213004
12510,2021-06-05,05:00,Surat,454,SEXUAL ASSAULT,44,F,Firearm,12,21.192819,72.887088
12511,2021-06-05,21:35,Bangalore,590,VEHICLE - STOLEN,17,F,None,18,13.010451,77.568367
12512,2021-06-05,18:18,Chennai,509,VANDALISM,37,F,Other,16,13.105886,80.206564
12513,2021-06-05,16:08,Hyderabad,473,KIDNAPPING,36,F,Explosives,18,17.507673,78.442465
12514,2021-06-05,05:43,Mumbai,390,DOMESTIC VIOLENCE,44,F,Poison,11,19.070423,72.774479
12515,2021-06-05,00:08,Chennai,566,VEHICLE - STOLEN,28,M,None,12,12.95995,80.197911
12516,2021-06-05,18:54,Pune,509,SEXUAL ASSAULT,69,M,Blunt Object,8,18.621649,73.793224
12517,2021-06-05,18:03,Ghaziabad,441,ARSON,19,F,Explosives,13,28.765125,77.545466
12518,2021-06-05,03:06,Mumbai,127,ARSON,51,M,Poison,17,19.067291,72.921221
12519,2021-06-05,17:01,Mumbai,598,KIDNAPPING,65,F,Firearm,18,19.053489,72.797919
12520,2021-06-05,11:21,Mumbai,377,DRUG OFFENSE,50,F,Firearm,6,19.020812,72.854533
12521,2021-06-05,07:43,Surat,218,TRAFFIC VIOLATION,78,F,Explosives,18,21.291433,72.790223
12522,2021-06-05,23:29,Lucknow,276,FRAUD,52,F,Explosives,2,26.750601,81.010932
12523,2021-06-05,06:14,Kolkata,335,TRAFFIC VIOLATION,79,F,Poison,2,22.552103,88.483069
12524,2021-06-05,18:48,Delhi,394,EXTORTION,62,F,Blunt Object,1,28.827184,77.250788
12525,2021-06-05,00:41,Delhi,478,VANDALISM,46,F,Firearm,12,28.881101,77.121548
12526,2021-06-05,04:58,Mumbai,530,FRAUD,68,M,Knife,3,18.908296,72.751351
12527,2021-06-05,10:50,Lucknow,292,EXTORTION,44,M,Poison,17,26.914518,80.892694
12528,2021-06-05,10:54,Lucknow,185,ASSAULT,26,F,Firearm,4,26.924635,80.927388
12529,2021-06-06,14:06,Kolkata,586,TRAFFIC VIOLATION,38,F,Knife,12,22.63162,88.486595
12530,2021-06-06,10:22,Pune,558,TRAFFIC VIOLATION,16,F,Poison,1,18.606032,73.79655
12531,2021-06-06,04:05,Ludhiana,246,VEHICLE - STOLEN,16,M,Knife,16,30.876594,75.835906
12532,2021-06-06,08:02,Bhopal,227,ARSON,24,M,Firearm,6,23.328492,77.46355
12533,2021-06-06,20:25,Jaipur,375,FIREARM OFFENSE,40,F,Poison,7,26.887033,75.907547
12534,2021-06-06,14:16,Mumbai,331,CYBERCRIME,77,F,None,13,18.923193,72.756767
12535,2021-06-06,15:34,Bangalore,313,DRUG OFFENSE,55,F,Blunt Object,8,12.985237,77.611778
12536,2021-06-06,14:43,Mumbai,129,VEHICLE - STOLEN,63,M,None,10,19.095454,72.839166
12537,2021-06-06,10:33,Ahmedabad,367,EXTORTION,62,F,Knife,2,23.097383,72.651881
12538,2021-06-06,07:42,Bangalore,222,FIREARM OFFENSE,36,F,Blunt Object,5,13.03303,77.646148
12539,2021-06-06,02:54,Hyderabad,460,FIREARM OFFENSE,29,F,None,9,17.404591,78.560737
12540,2021-06-06,17:58,Pune,501,ROBBERY,58,M,Explosives,13,18.543305,73.847544
12541,2021-06-06,11:07,Ghaziabad,419,TRAFFIC VIOLATION,71,F,Poison,8,28.608791,77.465512
12542,2021-06-06,04:09,Bangalore,485,EXTORTION,73,F,Firearm,2,12.903191,77.692587
12543,2021-06-06,23:45,Srinagar,259,DOMESTIC VIOLENCE,21,F,Poison,1,34.110095,74.774988
12544,2021-06-06,18:32,Nagpur,370,VANDALISM,11,F,Blunt Object,6,21.124368,79.118535
12545,2021-06-06,22:35,Ahmedabad,332,DOMESTIC VIOLENCE,22,F,Poison,6,23.065179,72.502301
12546,2021-06-06,01:01,Kanpur,115,DRUG OFFENSE,53,F,Firearm,4,26.599507,80.482695
12547,2021-06-06,16:32,Delhi,561,ASSAULT,52,F,Other,18,28.843669,76.966281
12548,2021-06-06,08:46,Hyderabad,262,VANDALISM,79,M,Poison,3,17.445446,78.515217
12549,2021-06-06,16:03,Kolkata,572,ARSON,72,F,None,1,22.656432,88.455239
12550,2021-06-06,17:46,Mumbai,461,PUBLIC INTOXICATION,28,F,Blunt Object,7,19.028869,72.880808
12551,2021-06-06,00:51,Pune,566,HOMICIDE,65,F,Poison,17,18.603933,73.882752
12552,2021-06-06,21:39,Hyderabad,144,SHOPLIFTING,63,M,Other,6,17.432363,78.515568
12553,2021-06-07,03:52,Delhi,471,VEHICLE - STOLEN,25,F,Explosives,8,28.685298,77.082041
12554,2021-06-07,18:26,Mumbai,305,KIDNAPPING,41,F,Other,7,19.140707,72.936873
12555,2021-06-07,13:20,Delhi,251,SEXUAL ASSAULT,44,F,Knife,3,28.567697,77.170913
12556,2021-06-07,08:05,Thane,439,CYBERCRIME,12,M,None,5,19.226183,73.059096
12557,2021-06-07,06:32,Mumbai,545,ROBBERY,49,M,Firearm,10,18.963591,72.80593
12558,2021-06-07,01:25,Indore,396,ILLEGAL POSSESSION,71,M,Knife,4,22.714805,75.801803
12559,2021-06-07,13:53,Delhi,268,DRUG OFFENSE,54,F,Knife,6,28.830445,76.976188
12560,2021-06-07,18:25,Faridabad,403,DOMESTIC VIOLENCE,70,F,Firearm,5,28.47119,77.274281
12561,2021-06-07,02:24,Chennai,407,BURGLARY,55,F,Explosives,18,12.974718,80.161124
12562,2021-06-07,13:16,Surat,264,VANDALISM,14,F,Knife,9,21.2724,72.819606
12563,2021-06-07,23:25,Delhi,405,ILLEGAL POSSESSION,60,M,Blunt Object,4,28.822982,77.02454
12564,2021-06-07,19:43,Pune,481,SHOPLIFTING,78,F,Poison,19,18.645955,73.837726
12565,2021-06-07,13:37,Delhi,297,ARSON,30,F,Poison,9,28.828954,76.856205
12566,2021-06-07,22:27,Chennai,370,ARSON,47,F,Other,6,12.962797,80.22103
12567,2021-06-07,06:14,Mumbai,315,FRAUD,47,F,Knife,16,18.950537,72.810644
12568,2021-06-07,12:29,Pune,496,HOMICIDE,75,F,Poison,12,18.459809,73.864909
12569,2021-06-07,06:41,Kolkata,229,HOMICIDE,14,F,Explosives,6,22.572976,88.447572
12570,2021-06-07,19:16,Kolkata,282,ROBBERY,69,F,Explosives,17,22.563367,88.462757
12571,2021-06-07,20:12,Mumbai,183,SEXUAL ASSAULT,54,F,Other,17,18.997959,72.757683
12572,2021-06-07,21:06,Kanpur,338,FRAUD,57,F,Explosives,16,26.56529,80.414091
12573,2021-06-07,13:43,Hyderabad,124,EXTORTION,28,M,Explosives,11,17.442172,78.407436
12574,2021-06-07,05:08,Chennai,216,PUBLIC INTOXICATION,32,M,Knife,17,12.966217,80.160304
12575,2021-06-07,17:58,Pune,205,ARSON,45,F,None,9,18.546089,73.828624
12576,2021-06-07,04:17,Bangalore,570,DOMESTIC VIOLENCE,46,F,Other,16,12.934082,77.505168
12577,2021-06-08,04:11,Agra,275,EXTORTION,51,F,Knife,17,27.149032,78.197042
12578,2021-06-08,20:05,Hyderabad,311,EXTORTION,69,F,Other,4,17.383289,78.500089
12579,2021-06-08,12:54,Delhi,251,HOMICIDE,44,F,None,6,28.720528,77.091565
12580,2021-06-08,15:11,Mumbai,231,ILLEGAL POSSESSION,14,F,None,2,19.115073,72.753977
12581,2021-06-08,00:29,Jaipur,254,ILLEGAL POSSESSION,64,M,Explosives,14,26.915788,75.799096
12582,2021-06-08,20:54,Hyderabad,144,IDENTITY THEFT,37,F,Other,7,17.301243,78.574056
12583,2021-06-08,02:48,Hyderabad,213,COUNTERFEITING,36,M,Knife,13,17.500963,78.45579
12584,2021-06-08,00:58,Ahmedabad,206,DRUG OFFENSE,74,F,None,5,23.098478,72.670802
12585,2021-06-08,17:25,Varanasi,397,ILLEGAL POSSESSION,56,F,Blunt Object,12,25.295363,83.017116
12586,2021-06-08,08:36,Jaipur,424,PUBLIC INTOXICATION,55,F,Explosives,13,26.872354,75.818447
12587,2021-06-08,19:35,Indore,470,IDENTITY THEFT,23,F,Explosives,4,22.832816,75.791338
12588,2021-06-08,02:21,Delhi,486,DRUG OFFENSE,61,F,Blunt Object,12,28.570252,77.1604
12589,2021-06-08,12:21,Ahmedabad,366,BURGLARY,25,F,Explosives,5,23.031464,72.633859
12590,2021-06-08,07:31,Nagpur,328,VANDALISM,48,F,Knife,18,21.243414,79.131823
12591,2021-06-08,15:13,Mumbai,398,SHOPLIFTING,39,F,Poison,2,18.9205,72.918323
12592,2021-06-08,18:31,Patna,484,ROBBERY,17,M,Firearm,13,25.556104,85.222336
12593,2021-06-08,06:47,Nagpur,176,ROBBERY,60,F,Knife,14,21.091844,79.011514
12594,2021-06-08,05:37,Kolkata,588,DOMESTIC VIOLENCE,27,F,Blunt Object,15,22.584403,88.447396
12595,2021-06-08,01:02,Kolkata,360,FRAUD,40,M,Blunt Object,1,22.601242,88.317262
12596,2021-06-08,14:45,Vasai,529,FRAUD,56,F,Other,9,19.35214,72.92749
12597,2021-06-08,03:29,Jaipur,469,SEXUAL ASSAULT,61,F,Other,9,26.936564,75.880231
12598,2021-06-08,20:19,Delhi,455,PUBLIC INTOXICATION,46,M,Explosives,1,28.738492,76.903903
12599,2021-06-08,23:22,Ludhiana,171,DOMESTIC VIOLENCE,70,M,Explosives,8,30.889287,75.893748
12600,2021-06-08,01:47,Visakhapatnam,290,SHOPLIFTING,30,F,Other,10,17.68675,83.271676
12601,2021-06-09,20:51,Mumbai,458,VEHICLE - STOLEN,70,M,Blunt Object,5,18.915529,72.877356
12602,2021-06-09,16:22,Nagpur,394,ASSAULT,28,M,Knife,8,21.104935,79.17472
12603,2021-06-09,03:39,Mumbai,249,VANDALISM,14,F,Firearm,13,19.008233,72.802174
12604,2021-06-09,08:02,Kolkata,588,ARSON,17,M,Poison,3,22.537878,88.428501
12605,2021-06-09,10:04,Chennai,164,HOMICIDE,49,F,Knife,1,12.955336,80.257963
12606,2021-06-09,04:57,Kalyan,487,ILLEGAL POSSESSION,20,F,Poison,11,19.283921,73.11661
12607,2021-06-09,14:35,Kolkata,101,BURGLARY,59,M,Explosives,7,22.538175,88.393899
12608,2021-06-09,05:56,Kolkata,390,DOMESTIC VIOLENCE,50,M,Knife,7,22.650077,88.485966
12609,2021-06-09,06:49,Kalyan,159,ARSON,56,F,Poison,17,19.270806,73.122501
12610,2021-06-09,20:47,Surat,260,ARSON,20,M,Explosives,18,21.11249,72.889761
12611,2021-06-09,14:20,Bhopal,133,BURGLARY,54,M,Explosives,3,23.321002,77.425297
12612,2021-06-09,14:43,Delhi,156,DOMESTIC VIOLENCE,10,F,None,12,28.791146,77.16909
12613,2021-06-09,06:11,Ahmedabad,230,VANDALISM,20,F,None,12,23.095516,72.663284
12614,2021-06-09,13:25,Jaipur,348,FIREARM OFFENSE,57,F,Other,12,26.813536,75.710855
12615,2021-06-09,02:05,Indore,362,ILLEGAL POSSESSION,18,F,Poison,2,22.726207,75.934046
12616,2021-06-09,05:11,Delhi,110,HOMICIDE,54,F,Knife,8,28.884633,77.05182
12617,2021-06-09,00:38,Indore,190,COUNTERFEITING,11,F,Poison,8,22.656309,75.94171
12618,2021-06-09,00:23,Varanasi,132,CYBERCRIME,67,F,Explosives,14,25.292937,83.047798
12619,2021-06-09,20:33,Mumbai,266,VEHICLE - STOLEN,30,M,Poison,10,19.109702,72.787954
12620,2021-06-09,14:37,Kolkata,296,VEHICLE - STOLEN,74,M,Poison,7,22.682142,88.33927
12621,2021-06-09,08:59,Pune,301,HOMICIDE,74,M,Explosives,11,18.646846,73.888132
12622,2021-06-09,07:31,Agra,297,VEHICLE - STOLEN,78,F,Explosives,9,27.218315,78.165038
12623,2021-06-09,21:02,Meerut,516,CYBERCRIME,22,M,Other,9,28.950525,77.722255
12624,2021-06-09,12:24,Kolkata,555,ILLEGAL POSSESSION,74,M,Explosives,5,22.627495,88.333207
12625,2021-06-10,03:45,Kanpur,552,EXTORTION,72,F,Firearm,1,26.472501,80.252922
12626,2021-06-10,12:16,Pune,415,HOMICIDE,69,M,Poison,17,18.561,73.903133
12627,2021-06-10,09:46,Lucknow,344,DOMESTIC VIOLENCE,66,F,Explosives,4,26.925519,80.870949
12628,2021-06-10,19:02,Jaipur,202,TRAFFIC VIOLATION,49,F,Knife,5,26.996075,75.943554
12629,2021-06-10,16:06,Ghaziabad,339,FIREARM OFFENSE,14,F,Knife,19,28.732714,77.398634
12630,2021-06-10,09:52,Kolkata,277,ROBBERY,59,F,Firearm,6,22.694162,88.419284
12631,2021-06-10,09:08,Chennai,222,ARSON,26,M,Poison,14,13.11022,80.273521
12632,2021-06-10,04:52,Bangalore,404,ROBBERY,16,M,Blunt Object,10,13.044678,77.576972
12633,2021-06-10,09:46,Bangalore,147,IDENTITY THEFT,49,F,Other,8,12.967334,77.581744
12634,2021-06-10,18:49,Delhi,426,IDENTITY THEFT,65,F,Other,10,28.611785,76.924804
12635,2021-06-10,07:43,Ludhiana,530,FRAUD,64,M,Other,2,30.86216,75.867328
12636,2021-06-10,09:54,Surat,183,EXTORTION,35,F,Explosives,14,21.186543,72.701303
12637,2021-06-10,19:13,Bangalore,467,ROBBERY,25,F,Blunt Object,4,12.998374,77.590895
12638,2021-06-10,02:45,Ludhiana,217,ROBBERY,17,F,None,1,30.949901,75.882739
12639,2021-06-10,17:53,Nagpur,261,BURGLARY,53,M,Firearm,6,21.124206,79.108287
12640,2021-06-10,20:40,Bangalore,229,ASSAULT,35,F,Explosives,14,12.976304,77.684379
12641,2021-06-10,13:29,Bangalore,314,ASSAULT,41,F,Explosives,18,12.986778,77.595013
12642,2021-06-10,02:54,Mumbai,396,VEHICLE - STOLEN,38,M,Poison,9,19.016214,72.839212
12643,2021-06-10,15:15,Vasai,547,TRAFFIC VIOLATION,59,M,None,1,19.412805,72.844195
12644,2021-06-10,20:28,Thane,279,SHOPLIFTING,77,F,Other,12,19.226387,73.03028
12645,2021-06-10,20:21,Kolkata,155,KIDNAPPING,69,F,Poison,15,22.634436,88.386256
12646,2021-06-10,13:08,Delhi,288,HOMICIDE,76,F,Explosives,10,28.759174,76.966039
12647,2021-06-10,16:59,Ludhiana,250,ROBBERY,25,F,Blunt Object,15,30.935859,75.813462
12648,2021-06-10,10:03,Indore,103,BURGLARY,36,F,Firearm,8,22.75664,75.947328
12649,2021-06-11,00:00,Delhi,437,SEXUAL ASSAULT,53,F,Firearm,12,28.56713,77.226048
12650,2021-06-11,20:36,Chennai,555,COUNTERFEITING,42,M,Firearm,19,12.981703,80.212372
12651,2021-06-11,23:36,Delhi,510,VANDALISM,21,F,Knife,12,28.6739,77.138068
12652,2021-06-11,17:35,Bhopal,323,EXTORTION,32,F,Other,8,23.398011,77.403069
12653,2021-06-11,05:58,Jaipur,131,KIDNAPPING,10,F,Other,16,26.925607,75.894433
12654,2021-06-11,15:48,Kolkata,282,ILLEGAL POSSESSION,27,M,Knife,17,22.684391,88.456898
12655,2021-06-11,00:30,Delhi,517,BURGLARY,13,F,None,8,28.606203,77.089605
12656,2021-06-11,16:02,Kolkata,273,VANDALISM,51,F,Firearm,6,22.689666,88.304411
12657,2021-06-11,03:20,Mumbai,196,IDENTITY THEFT,12,F,Firearm,19,19.041885,72.889709
12658,2021-06-11,14:11,Agra,182,SEXUAL ASSAULT,31,M,Other,16,27.134426,78.07423
12659,2021-06-11,15:59,Pune,310,BURGLARY,29,F,None,18,18.537416,73.858086
12660,2021-06-11,11:53,Bangalore,427,DRUG OFFENSE,78,F,Firearm,2,13.010962,77.593725
12661,2021-06-11,20:22,Thane,357,ROBBERY,61,M,Blunt Object,19,19.270129,73.085732
12662,2021-06-11,21:57,Visakhapatnam,105,VANDALISM,78,M,Explosives,19,17.743584,83.349133
12663,2021-06-11,12:09,Nagpur,410,ROBBERY,42,M,Firearm,4,21.247996,79.053125
12664,2021-06-11,15:10,Delhi,306,ILLEGAL POSSESSION,19,M,Knife,3,28.676756,77.289491
12665,2021-06-11,02:12,Ludhiana,533,TRAFFIC VIOLATION,33,M,Explosives,19,30.853087,75.820689
12666,2021-06-11,22:55,Ludhiana,359,FIREARM OFFENSE,36,F,Poison,4,30.861363,75.855107
12667,2021-06-11,21:36,Vasai,415,CYBERCRIME,78,F,Blunt Object,14,19.322463,72.804097
12668,2021-06-11,17:42,Ahmedabad,206,CYBERCRIME,40,F,Poison,13,23.079723,72.554053
12669,2021-06-11,18:38,Kolkata,230,ARSON,24,F,None,17,22.678236,88.413871
12670,2021-06-11,02:09,Delhi,450,ARSON,65,F,Explosives,19,28.524739,77.146803
12671,2021-06-11,01:13,Kanpur,299,KIDNAPPING,55,F,Blunt Object,14,26.411415,80.414251
12672,2021-06-11,23:06,Bangalore,465,TRAFFIC VIOLATION,24,F,Poison,17,13.040771,77.570946
12673,2021-06-12,02:43,Mumbai,504,SEXUAL ASSAULT,10,F,Knife,16,18.977567,72.891856
12674,2021-06-12,09:52,Delhi,419,FIREARM OFFENSE,15,F,None,2,28.582365,76.984421
12675,2021-06-12,07:20,Bangalore,130,FIREARM OFFENSE,33,F,None,8,12.960481,77.640091
12676,2021-06-12,16:57,Chennai,301,ROBBERY,69,F,Other,17,13.148207,80.208727
12677,2021-06-12,20:27,Chennai,592,SEXUAL ASSAULT,63,M,Poison,3,13.02594,80.155896
12678,2021-06-12,10:42,Ghaziabad,493,BURGLARY,75,M,None,15,28.624716,77.504783
12679,2021-06-12,08:49,Delhi,552,DOMESTIC VIOLENCE,33,M,Poison,5,28.663697,76.979219
12680,2021-06-12,08:18,Delhi,401,VEHICLE - STOLEN,74,F,Knife,13,28.726115,77.228133
12681,2021-06-12,21:51,Lucknow,450,KIDNAPPING,75,M,Poison,15,26.801295,80.975951
12682,2021-06-12,16:06,Pune,186,BURGLARY,57,F,Blunt Object,11,18.574225,73.764426
12683,2021-06-12,08:54,Lucknow,317,KIDNAPPING,30,F,Poison,2,26.782506,80.975239
12684,2021-06-12,10:32,Bangalore,234,BURGLARY,34,F,Explosives,1,12.993734,77.666315
12685,2021-06-12,03:09,Mumbai,139,CYBERCRIME,24,M,None,10,18.963601,72.918159
12686,2021-06-12,17:36,Ahmedabad,443,FIREARM OFFENSE,28,F,Knife,1,23.050766,72.594093
12687,2021-06-12,04:50,Bangalore,556,COUNTERFEITING,12,F,Blunt Object,1,12.965582,77.643622
12688,2021-06-12,14:31,Delhi,476,HOMICIDE,71,F,Explosives,14,28.506366,77.153236
12689,2021-06-12,09:38,Varanasi,179,BURGLARY,45,F,Firearm,7,25.32326,82.965134
12690,2021-06-12,09:33,Pune,372,COUNTERFEITING,50,F,Blunt Object,17,18.589085,73.78907
12691,2021-06-12,20:28,Mumbai,528,ILLEGAL POSSESSION,49,F,None,1,19.059733,72.801416
12692,2021-06-12,04:20,Nagpur,418,ROBBERY,19,M,None,6,21.158847,79.00679
12693,2021-06-12,08:12,Hyderabad,182,KIDNAPPING,53,F,Other,16,17.331855,78.525024
12694,2021-06-12,18:30,Lucknow,396,ROBBERY,77,F,Blunt Object,16,26.89473,80.864322
12695,2021-06-12,03:37,Mumbai,225,COUNTERFEITING,39,M,Firearm,11,19.067564,72.915997
12696,2021-06-12,07:50,Pune,574,HOMICIDE,63,F,Blunt Object,3,18.458192,73.777668
12697,2021-06-13,18:56,Lucknow,440,PUBLIC INTOXICATION,71,F,Firearm,1,26.769029,80.969422
12698,2021-06-13,09:57,Jaipur,319,PUBLIC INTOXICATION,27,F,Knife,11,26.951442,75.87974
12699,2021-06-13,09:35,Chennai,195,HOMICIDE,12,F,Other,6,13.072192,80.28078
12700,2021-06-13,06:50,Srinagar,587,VEHICLE - STOLEN,42,F,Poison,2,34.10918,74.80978
12701,2021-06-13,08:23,Delhi,307,ARSON,59,F,Knife,19,28.552994,77.205041
12702,2021-06-13,06:03,Mumbai,369,BURGLARY,67,M,Firearm,16,18.935995,72.780119
12703,2021-06-13,07:43,Mumbai,283,VANDALISM,77,M,Explosives,7,19.001062,72.800489
